name,price,size_mm,color,rpm,airflow_cfm,noise_level_db,pwm,original_price
be quiet! Silent Wings 3,0.1715145297809216,0.4210526315789473,Black,0.1602564102564102,0.0004097855621927,0.1753846153846153,False,25.77
be quiet! Silent Wings 3,0.1715145297809216,0.4210526315789473,Black,0.1602564102564102,0.0004097855621927,0.1753846153846153,False,32.20846315789474
be quiet! Silent Wings 3,0.1715145297809216,0.4210526315789473,Black,0.1602564102564102,0.0004097855621927,0.1753846153846153,False,32.20846315789474
Iceberg Thermal IceGALE 3-Pack,0.1021595198316936,0.4210526315789473,Black,0.125,0.0006292213420313,0.3119468851377357,True,21.0
Iceberg Thermal IceGALE 3-Pack,0.1021595198316936,0.4210526315789473,Black,0.125,0.0006292213420313,0.3119468851377357,True,21.0
Iceberg Thermal IceGALE 3-Pack,0.1021595198316936,0.4210526315789473,Black,0.125,0.0006292213420313,0.3119468851377357,True,21.0
ADATA Vento,0.0278448115834416,0.4210526315789473,Black,0.1282051282051282,0.000365037873755,0.2769230769230769,False,9.99
ADATA Vento,0.0278448115834416,0.4210526315789473,Black,0.1282051282051282,0.000365037873755,0.2769230769230769,False,8.99
Cooler Master MasterFan Pro Air Pressure,0.0958480292061135,0.5263157894736842,Black,0.1153846153846153,0.0003727826659846,0.3119468851377357,True,19.98
Cooler Master MasterFan Pro Air Pressure,0.0958480292061135,0.5263157894736842,Black,0.1153846153846153,0.0003727826659846,0.3119468851377357,True,32.20846315789474
Cooler Master MasterFan Pro Air Pressure,0.0958480292061135,0.5263157894736842,Black,0.1153846153846153,0.0003727826659846,0.3119468851377357,True,32.20846315789474
Cooler Master MasterFan Pro Air Pressure,0.0958480292061135,0.5263157894736842,Black,0.1153846153846153,0.0003727826659846,0.3119468851377357,True,32.20846315789474
